Category	Number of Reads	Percent of Total	Percent of Section
Total Reads	363246735	100.0	100.0
Matched Reads	239750646	66.00214754855264	100.0
B3	25933763	7.139434577436739	10.816973148009787
C4	51581889	14.200234724752583	21.514807096703297
B10	8234276	2.2668547867333206	3.434516710332451
A2	7448228	2.0504597240220206	3.1066560713250384
B9	6606498	1.8187356866401014	2.7555704688278504
A12	2786134	0.7670086835054416	1.1620965559358702
B1	6033486	1.66098836373574	2.51656715035504
C9	7951357	2.188968608348262	3.316511188879132
C10	31203016	8.590033438290918	13.01477869636272
A11	13661286	3.760883356597823	5.698122707039547
A1	6234505	1.7163278838555835	2.60041217991129
A7	2861868	0.7878578729689063	1.1936852090901144
A8	6571536	1.8091108238041012	2.7409878178180174
A5	4398491	1.2108824598244496	1.8346106979832706
B4	6658709	1.8331091124604328	2.777347678137226
C1	4900440	1.3490664960828898	2.0439736375100317
A3	12247310	3.3716228722606414	5.108353284687292
B8	3149983	0.8671744840321827	1.313857982263789
A10	7791551	2.1449748199388496	3.2498561025775086
C3	3097661	0.8527705004698803	1.2920344748518424
B7	7880872	2.169564442196569	3.2871118937464723
C7	2765861	0.761427628523626	1.1536406871662819
B2	4720342	1.29948642208718	1.9688547575383801
C2	5031584	1.3851697799843954	2.0986738029477507
Swapped Reads	352378	0.09700789189474751	100.0
B7-A3	63153	0.017385703411759504	17.921947454154346
A11-C3	163	4.487308055225879e-05	0.04625714431661454
B3-A8	490	0.00013489453662948958	0.13905521911129526
A3-B7	61181	0.016842821725568984	17.362321143771744
C4-A10	1632	0.0004492813954680143	0.4631390154890487
C1-C10	9552	0.0026296175793569074	2.7107254141859025
C10-B8	651	0.00017921702723632188	0.18474479110500655
C4-A8	1063	0.00029263855599417844	0.30166468962307524
C1-B2	76	2.0922417926206548e-05	0.021567748270323345
C7-C10	410	0.00011287093881243007	0.11635232619516542
B3-C4	5821	0.0016024920361637936	1.6519192458098975
C7-A1	182	5.010368503381042e-05	0.051649081384195376
B7-B9	335	9.222381585893677e-05	0.0950683640862937
A11-B3	2004	0.0005516911253173411	0.5687074675490524
A5-A3	245	6.744726831474479e-05	0.06952760955564763
A3-C4	2021	0.0005563711398534662	0.5735318322937301
A11-A12	9926	0.0027325778991516606	2.8168614385688096
C4-B3	5796	0.0015956096618459626	1.6448245917736068
B7-C10	1885	0.0005189310235644651	0.5349369143363093
C3-C4	3861	0.0010629138896458353	1.0956983693647162
C1-A1	220	6.0564893996913694e-05	0.062432955519357056
B4-B7	4869	0.0013404112221407853	1.3817548201079521
B4-A11	202	5.5609584488075305e-05	0.05732480461322784
B2-C4	712	0.0001960100205718298	0.20205574695355555
A3-C9	257	7.075080798730373e-05	0.0729330434930671
B10-A5	120	3.303539672558929e-05	0.03405433937419476
A8-B3	310	8.534144154110566e-05	0.08797371005000312
C1-B4	158	4.3496605688692565e-05	0.044838213509356434
A2-C10	736	0.00020261709991694762	0.2088666148283945
A8-C4	645	0.00017756525740004244	0.1830420741362968
B4-C4	898	0.0002472148854964932	0.25483997298355743
C10-C2	3083	0.0008487344008749314	0.8749127357553536
A8-B1	495	0.0001362710114930558	0.14047414991855336
A8-B2	171	4.707544033396473e-05	0.04852743360822753
